MrSavage,100 Thieves,20,Norway,999,,,,,
Sphinx 7,Elite,20,Lebanon,318,,,,,
Kwanti,EXD,20,United States of America,312,,,,,
Bugha,DIG,21,United States of America,288,,,,,
Batman Bugha,Null,22,United States of America,387,,,,,
Boltz,Null,22,United States of America,313,,,,,
Jakpo,Falcon,18,Poland,330,,,,,
King,Dragn,18,Brazil,276,,,,,
Kami,GG,19,Poland,259,,,,,
Rise,DT,19,Canada,204,,,,,
Vadeal,WAVE,19,Germany,195,,,,,
Reet,SG,18,United States of America,294,,,,,
Krisp,Null,20,Germany,177,,,,,
Muz3x,XSET,21,Australia,174,,,,,
Parz,Elite,18,United States of America,276,,,,,
Th0masHD,Heroic,22,Denmark,481,,,,,
Khanada,DIG,19,United States of America,186,,,,,
Paper,Elite,21,United States of America,150,,,,,
Huty,Null,23,United States of America,135,,,,,
Resignz,Null,20,Australia,123,,,,,
G13ras,G1,18,Poland,123,,,,,
Visxals,Null,17,United States of America,105,,,,,
CZB,Null,22,Denmark,99,,,,,
Clone,KPI,20,Spain,96,,,,,
Clix,XSET,19,United States of America,276,,,,,
Vico1x,Ovation,18,Germany,285,,,,,
Peterbot,EXD,22,United States of America,543,,,,,
FKS,R8,22,Saudi Arabia,78,,,,,
Sky,Atlantic,20,France,153,,,,,
Shelom,Null,21,Slovenia,171,,,,,
Trulex,Valiant,22,Serbia,351,,,,,
Shadow,2AM,18,Poland,243,,,,,
Prism,Orkida,21,Belgium,132,,,,,
Seytto,Null,22,Korea,75,,,,,
JobKame44,CR,21,Japan,69,,,,,
Koyota,ZETA,22,Japan,117,,,,,
7man,Null,19,Bahrain,147,,,,,
JannisZ,CGN,18,Germany,321,,,,,
Cold,ManCity,18,United States of America,60,,,,,
Malibuca,KC,19,Russia,78,,,,,
Aspect,Tribe,23,United States of America,57,,,,,
T3nny,Falcnon,18,Slovenia,390,,,,,
Worthy,PWR,21,Australia,48,,,,,
P1ngfnz,Aight,20,United States of America,399,,,,,
Threats,ManCity,18,United States of America,47,,,,,
Seeyun,Null,18,United States of America,153,,,,,
